name	shape	#elements
audio_model.conv.0.weight	(16, 2, 3, 3)	288
audio_model.conv.0.bias	(16,)	16
audio_model.conv.1.weight	(16,)	16
audio_model.conv.1.bias	(16,)	16
audio_model.blocks.0.intra_norm.gamma	(1, 16, 1, 1)	16
audio_model.blocks.0.intra_norm.beta	(1, 16, 1, 1)	16
audio_model.blocks.0.intra_proj.weight	(128, 64)	8192
audio_model.blocks.0.intra_proj.bias	(128,)	128
audio_model.blocks.0.intra_mamba.forward_blocks.0.norm.weight	(128,)	128
audio_model.blocks.0.intra_mamba.forward_blocks.0.mixer.A_log	(512, 16)	8192
audio_model.blocks.0.intra_mamba.forward_blocks.0.mixer.D	(512,)	512
audio_model.blocks.0.intra_mamba.forward_blocks.0.mixer.in_proj.weight	(1024, 128)	131072
audio_model.blocks.0.intra_mamba.forward_blocks.0.mixer.conv1d.weight	(512, 1, 4)	2048
audio_model.blocks.0.intra_mamba.forward_blocks.0.mixer.conv1d.bias	(512,)	512
audio_model.blocks.0.intra_mamba.forward_blocks.0.mixer.x_proj.weight	(40, 512)	20480
audio_model.blocks.0.intra_mamba.forward_blocks.0.mixer.dt_proj.weight	(512, 8)	4096
audio_model.blocks.0.intra_mamba.forward_blocks.0.mixer.dt_proj.bias	(512,)	512
audio_model.blocks.0.intra_mamba.forward_blocks.0.mixer.out_proj.weight	(128, 512)	65536
audio_model.blocks.0.intra_mamba.backward_blocks.0.norm.weight	(128,)	128
audio_model.blocks.0.intra_mamba.backward_blocks.0.mixer.A_log	(512, 16)	8192
audio_model.blocks.0.intra_mamba.backward_blocks.0.mixer.D	(512,)	512
audio_model.blocks.0.intra_mamba.backward_blocks.0.mixer.in_proj.weight	(1024, 128)	131072
audio_model.blocks.0.intra_mamba.backward_blocks.0.mixer.conv1d.weight	(512, 1, 4)	2048
audio_model.blocks.0.intra_mamba.backward_blocks.0.mixer.conv1d.bias	(512,)	512
audio_model.blocks.0.intra_mamba.backward_blocks.0.mixer.x_proj.weight	(40, 512)	20480
audio_model.blocks.0.intra_mamba.backward_blocks.0.mixer.dt_proj.weight	(512, 8)	4096
audio_model.blocks.0.intra_mamba.backward_blocks.0.mixer.dt_proj.bias	(512,)	512
audio_model.blocks.0.intra_mamba.backward_blocks.0.mixer.out_proj.weight	(128, 512)	65536
audio_model.blocks.0.intra_linear.weight	(256, 16, 4)	16384
audio_model.blocks.0.intra_linear.bias	(16,)	16
